Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Yency Almonte,29,us US,R,R,"6' 5""",223,4-Jun-94,6,49,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$1,500,000 ",
Austin Barnes,33,us US,R,R,"5' 10""",187,28-Dec-89,9,59,52,59,54,0,53,0,1,0,0,0,0,0,0,1,6,0,-1.1,"$3,500,000 ",
Mookie Betts,30,us US,R,R,"5' 9""",180,7-Oct-92,10,152,151,152,152,0,0,0,70,0,16,0,0,107,107,0,1,0,8.3,"$25,416,667 ",All-Star
Phil Bickford,27,us US,R,R,"6' 4""",200,10-Jul-95,4,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$740,000 ",
Ryan Brasier,35,us US,R,R,"6' 0""",223,26-Aug-87,7,39,0,1,39,39,0,0,0,0,0,0,0,0,0,0,0,0,1.7,,
Justin Bruihl,26,us US,L,L,"6' 2""",215,26-Jun-97,3,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Michael Busch,25,us US,L,R,"6' 1""",210,9-Nov-97,1st,27,18,27,19,0,0,4,1,13,0,1,0,0,1,8,3,0,-0.5,,
Dylan Covey,31,us US,R,R,"6' 1""",215,14-Aug-91,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tyler Cyr,30,us US,R,R,"6' 1""",205,5-May-93,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Jonny DeLuca,24,us US,R,R,"6' 0""",200,10-Jul-98,1st,24,10,24,21,0,0,0,0,0,0,9,8,7,21,2,8,3,0.3,,
Caleb Ferguson,26,us US,R,L,"6' 3""",226,2-Jul-96,5,68,7,2,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$1,100,000 ",
Freddie Freeman,33,us US,L,R,"6' 5""",220,12-Sep-89,14,161,161,161,161,0,0,161,0,0,0,0,0,0,0,0,0,0,6.5,"$27,000,000 ",All-Star
Tony Gonsolin,29,us US,R,R,"6' 3""",205,14-May-94,5,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$3,250,000 ",
Victor González,27,mx MX,L,L,"6' 0""",180,16-Nov-95,3,34,1,2,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Brusdar Graterol,24,ve VE,R,R,"6' 1""",265,26-Aug-98,5,68,1,1,68,68,0,0,0,0,0,0,0,0,0,0,0,0,2.5,"$1,225,000 ",
Michael Grove,26,us US,R,R,"6' 3""",200,18-Dec-96,2,18,12,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$722,500 ",
Enrique Hernández,31,pr PR,R,R,"5' 11""",195,24-Aug-91,10,54,42,54,54,0,0,10,15,12,10,11,9,4,22,0,6,1,0.5,,
Yonny Hernández,25,ve VE,B,R,"5' 7""",140,4-May-98,3,14,4,14,11,1,0,0,8,3,0,0,0,0,0,0,5,0,-0.1,,
Jason Heyward,33,us US,L,L,"6' 5""",240,9-Aug-89,14,124,98,124,112,0,0,6,0,0,0,7,23,90,109,6,20,0,1.9,"$720,000 ",
Bryan Hudson,26,us US,L,L,"6' 8""",220,8-May-97,1st,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Daniel Hudson,36,us US,R,R,"6' 3""",215,9-Mar-87,14,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$6,500,000 ",
Kyle Hurt,25,us US,R,R,"6' 3""",240,30-May-98,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Andre Jackson,27,us US,R,R,"6' 3""",210,1-May-96,3,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$722,500 ",
Joe Kelly,35,us US,R,R,"6' 1""",174,9-Jun-88,12,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$9,000,000 ",
Clayton Kershaw,35,us US,L,L,"6' 4""",225,19-Mar-88,16,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,3.8,"$20,000,000 ",All-Star
Adam Kolarek,34,us US,L,L,"6' 3""",215,14-Jan-89,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Lance Lynn,36,us US,B,R,"6' 5""",280,12-May-87,12,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$18,500,000 ",
Jake Marisnick,32,us US,R,R,"6' 4""",220,30-Mar-91,11,4,0,4,4,0,0,0,0,0,0,0,4,0,4,0,3,0,0,,
J.D. Martinez,35,us US,R,R,"6' 3""",230,21-Aug-87,13,113,111,113,3,0,0,0,0,0,0,3,0,0,3,110,2,0,1.9,"$10,000,000 ",All-Star
Dustin May,25,us US,R,R,"6' 6""",180,6-Sep-97,5,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$1,675,000 ",
Bobby Miller,24,us US,L,R,"6' 5""",220,5-Apr-99,1st,22,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,2.1,,
Shelby Miller,32,us US,R,R,"6' 3""",225,10-Oct-90,11,36,1,1,36,36,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$1,500,000 ",
Tyson Miller,27,us US,R,R,"6' 5""",220,29-Jul-95,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Max Muncy,32,us US,L,R,"6' 0""",215,25-Aug-90,8,135,131,135,124,0,0,0,0,124,0,0,0,0,0,10,4,0,2.6,"$13,500,000 ",
James Outman,26,us US,L,R,"6' 3""",215,14-May-97,2,151,137,151,145,0,0,0,0,0,0,17,135,6,145,3,8,0,3.3,"$722,500 ",
Ryan Pepiot,25,us US,R,R,"6' 3""",215,21-Aug-97,2,8,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,
David Peralta,35,ve VE,L,L,"6' 1""",210,14-Aug-87,10,133,104,133,123,0,0,0,0,0,0,118,0,12,123,6,24,0,0.6,"$6,500,000 ",
Evan Phillips,28,us US,R,R,"6' 2""",215,11-Sep-94,6,62,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,1.6,"$1,300,000 ",
Jake Reed,30,us US,R,R,"6' 2""",197,29-Sep-92,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Nick Robertson,24,us US,R,R,"6' 6""",235,16-Jul-98,1st,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Miguel Rojas,34,ve VE,R,R,"6' 0""",188,24-Feb-89,10,125,109,124,123,3,0,0,1,1,121,0,0,0,0,2,12,1,1.2,"$4,250,000 ",
Amed Rosario,27,do DO,R,R,"6' 2""",190,20-Nov-95,7,48,28,48,42,0,0,0,36,0,16,0,0,0,0,6,11,5,0.7,,
Tayler Scott,31,za ZA,R,R,"6' 3""",185,1-Jun-92,3,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Emmet Sheehan,23,us US,R,R,"6' 5""",220,15-Nov-99,1st,13,11,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Will Smith,28,us US,R,R,"5' 10""",195,28-Mar-95,5,126,120,126,111,0,111,0,0,0,0,0,0,0,0,14,4,0,4.1,"$5,250,000 ",All-Star
Gavin Stone,24,us US,R,R,"6' 1""",175,15-Oct-98,1st,8,4,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,,
Wander Suero,31,do DO,R,R,"6' 4""",216,15-Sep-91,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Noah Syndergaard,30,us US,L,R,"6' 6""",242,29-Aug-92,8,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-1,"$13,000,000 ",
Chris Taylor,32,us US,R,R,"6' 1""",196,29-Aug-90,10,117,82,117,109,0,0,0,3,28,31,57,5,0,60,7,23,3,1.4,"$15,000,000 ",
Trayce Thompson,32,us US,R,R,"6' 3""",225,15-Mar-91,7,36,19,36,30,0,0,0,0,0,0,13,15,6,30,2,13,1,-0.3,"$1,450,000 ",
Julio Urías,26,mx MX,L,L,"6' 0""",225,12-Aug-96,8,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$14,250,000 ",
Miguel Vargas,23,cu CU,R,R,"6' 2""",205,17-Nov-99,2,81,70,81,79,0,0,5,78,0,0,0,0,0,0,2,10,0,-0.1,"$722,500 ",
Gus Varland,26,us US,L,R,"6' 1""",213,6-Nov-96,1st,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Alex Vesia,27,us US,L,L,"6' 1""",209,11-Apr-96,4,56,1,2,56,56,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$750,000 ",
Luke Williams,26,us US,R,R,"6' 1""",186,9-Aug-96,3,4,3,4,4,1,0,0,0,0,4,0,0,0,0,0,1,0,-0.1,,
Kolten Wong,32,us US,L,R,"5' 7""",185,10-Oct-90,11,20,4,20,11,0,0,0,11,0,0,0,0,0,0,4,12,1,0.4,,
Austin Wynns,32,us US,R,R,"6' 0""",190,10-Dec-90,5,5,4,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Ryan Yarbrough,31,us US,R,L,"6' 5""",215,31-Dec-91,6,11,2,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
